id,content_title,content_description,Link Comma,start_grade,end_grade,subject,Cost,Device,Language of Instruction,Website Langauage
565,बुक्स रैपिड,"गणित, विज्ञान और अंग्रेजी में पहली से दसवीं कक्षा के लिए ओडिया में वीडियो लेक्चर की एक लाइब्रेरी।","https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured,https://www.youtube.com/channel/UC4GiTDaA64QaIskLd0jfjwg/featured",1,10,"अंग्रेजी, गणित, विज्ञान",मुफ्त,3,उड़िया,HI
566,ओडिया डिजिटल लर्निंग,कक्षा 3 से 6 के लिए ओडिया में गणित पर वीडियो लेक्चर,"https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn,https://www.youtube.com/playlist?list=PLttru3UvMWDtIGn5UfHd3UJIJv2qtzEBn",3,6,"गणित, अंग्रेजी",मुफ्त,3,उड़िया,HI
567,डीअर सर,"गणित, विज्ञान, बोली जाने वाली अंग्रेजी और सामान्य ज्ञान की विशेषता वाले आकर्षक, प्रशिक्षक के नेतृत्व वाले वीडियो का एक संग्रह","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",10,12,"गणित, विज्ञान, अंग्रेजी",मुफ्त,3,हिन्दी,HI
568,डीअर सर,"गणित, विज्ञान, बोली जाने वाली अंग्रेजी और सामान्य ज्ञान की विशेषता वाले आकर्षक, प्रशिक्षक के नेतृत्व वाले वीडियो का एक संग्रह","https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos,https://www.youtube.com/channel/UC9dyrsYEmD4iGJ8Oz1G5dpw/videos",15,15,"गणित, विज्ञान, अंग्रेजी",मुफ्त,3,हिन्दी,HI
569,डिजिटल साक्षार,"गणित, अंग्रेजी, विज्ञान और सामाजिक विज्ञान अवधारणाओं को कवर करते हुए कक्षा 1 से 10 के लिए 2 डी एनिमेटेड वीडियो व्याख्यान का संग्रह।","https://www.youtube.com/user/Sancharlearnings/playlists,https://play.google.com/store/apps/details?id=com.sancharinfotech.digitalsakshar",1,10,"अंग्रेजी, गणित, विज्ञान, सामाजिक विज्ञान",मुफ्त,3,"मराठी, हिंदी",HI
570,तिकटैकलर्न,"टिक टैक लर्न उच्च-गुणवत्ता का एक ओपन-सोर्स भंडार है, जिसमे मातृभाषाओं में वीडियो कंटेंट है।","तिकटैकलर्न तेलुगु==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA/featured;तिकटैकलर्न मराठी==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q;तिकटैकलर्न ओडिया==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw,तिकटैकलर्न तेलुगु==https://www.youtube.com/channel/UC9qLJLs51f97UVwzU19glnA/featured;तिकटैकलर्न मराठी==https://www.youtube.com/channel/UCHB-eNXs4hJB__1G1lOR38Q;तिकटैकलर्न ओडिया==https://www.youtube.com/channel/UCl8_6ZBA370fTg2w6gGS6Mw",3,10,गणित,मुफ्त,3,"तेलुगू, मराठी, ओडिया",HI
571,मैथ सोंग्स बाइ नंबरोक,बच्चों के लिए कक्षा के से 6वीं तक की गणित की अवधारणाओं को सीखने के लिए शैक्षिक गीतों की एनिमेटेड संगीत वीडियो की एक लाइब्रेरी।,"https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos,https://www.youtube.com/channel/UCt9SZgFExNwWTH5T_JnyF-A/videos",0,5,गणित,मुफ्त,3,अंग्रेज़ी,HI
572,पेब्ब्लस लैंगवेग एंड कोंम्पैटिटिव इग्ज़ामस इंग्लिश,"उपयोगकर्ता के अनुकूल वीडियो, जो आपको अपनी मातृभाषा (मराठी, गुजराती, तमिल, और हिंदी) का उपयोग करके अंग्रेजी बोलने के लिए रोज़मर्रा के परिदृश्यों की विशेषता देते हैं।","https://www.youtube.com/user/PebblesLearning/,https://www.youtube.com/user/PebblesLearning/",15,15,अंग्रेज़ी,मुफ्त,3,"तमिल, गुजराती, मराठी, हिंदी",HI
573,पीकाबू किड्ज़,"पीकाबू किडज़ हर रोज़ के सामान्य ज्ञान विषयों पर मज़ेदार, एनिमेटेड वीडियो का एक संग्रह है।","https://www.youtube.com/user/Peekaboo/,https://www.youtube.com/user/Peekaboo/",0,5,"विज्ञान, सामाजिक विज्ञान",मुफ्त,3,अंग्रेज़ी,HI
574,ईटोस एजुकेशन,"आईआईटीजेईई और एनईईटी जैसी प्रतियोगी परीक्षाओं की तैयारी में सहायता के लिए फिजिक्स, केमिस्ट्री और बायोलॉजी में प्रशिक्षक के नेतृत्व वाले वीडियो लेक्चर का संग्रह।","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",14,14,"आईआईटी जेईई, एनईईटी",मुफ्त,3,हिन्दी,HI
575,ईटोस एजुकेशन,"कक्षा 11 और 12 के लिए फिजिक्स, केमिस्ट्री और बायोलॉजी में इंस्ट्रक्टर के नेतृत्व वाले वीडियो लेक्चर का संग्रह।","https://www.youtube.com/user/etoosindia7/featured,https://play.google.com/store/apps/details?id=com.etoos.india.app&hl=en_IN",11,12,विज्ञान,मुफ्त,3,हिन्दी,HI
576,ड्रोनस्टडि,ड्रोनस्टडी प्रशिक्षक के नेतृत्व वाले वीडियो की मेजबानी करता है जो विज्ञान और गणित में विषयों को कवर करने के लिए एनिमेटेड दृश्यों और प्रदर्शनों का उपयोग करते हैं।,"https://www.youtube.com/channel/UCPiuJvuyMVFSwcIdBCTpTyQ/videos,https://play.google.com/store/apps/details?id=gnhub.dronstudy.web&hl=en_IN",8,12,विज्ञान गणित,मुफ्त,3,हिन्दी,HI
577,हेलिओस एजुकोर,"हेलिओस एजुकोर आईआईटीजेईई और एनईईटी जैसी प्रतियोगी परीक्षाओं की तैयारी के लिए फिजिक्स, केमिस्ट्री, और बायोलॉजी में इंस्ट्रक्टर के नेतृत्व वाले वीडियो लेक्चर की लाइब्रेरी की मेजबानी करता है।","https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured,https://www.youtube.com/channel/UCF1OOqrsruWs3gbGf22gM7g/featured",14,14,"आईआईटी जेईई, एनईईटी",मुफ्त,3,हिन्दी,HI
578,तून मास्टिएफ़,"हिंदी में मजेदार एनिमेटेड वीडियो का एक संग्रह, जो गणित और ईवीएस, और कक्षा केजी से 5वीं के लिए भाषा में विषयों को कवर करने के लिए नर्सरी कविता और छोटी कहानियों का उपयोग करता है।","https://www.youtube.com/user/toonmastieyf/featured,https://www.youtube.com/user/toonmastieyf/featured",0,5,"विज्ञान, गणित, हिंदी",मुफ्त,3,"हिंदी, अंग्रेजी",HI
579,एटीपी स्टार,जेईई / एनईईटी परीक्षा के लिए छात्रों को तैयार करने में मदद करने के लिए विज्ञान में विभिन्न विषयों को शामिल करते हुए व्हाइटबोर्ड शैली के व्याख्यान।,"https://www.youtube.com/channel/UCwdvPgmU5qHPB2NsDLAmS1g/featured,https://play.google.com/store/apps/details?id=com.app.atpstar&hl=en_IN",14,14,"आईआईटी जेईई, एनईईटी",मुफ्त,3,हिन्दी,HI
580,एम लर्निंग इंडिया,आईआईटीजेईई और एनईईटीटी जैसी प्रतियोगी परीक्षाओं की तैयारी में मदद करने के लिए फिजिक्स और केमिस्ट्री में प्रशिक्षक के नेतृत्व वाले वीडियो का संग्रह।,"https://www.youtube.com/user/mlearningindia,https://play.google.com/store/apps/details?id=com.it.mlearning",14,14,"आईआईटी जेईई, एनईईटी",मुफ्त,3,हिन्दी,HI
581,आईकेन एडु,"कक्षा के.जी से 5वीं के लिए विज्ञान, गणित, सामाजिक विज्ञान और अंग्रेजी में विषयों को तोड़ने वाले एनिमेटेड वीडियो की एक लाइब्रेरी।","https://www.youtube.com/user/IkenEdu/videos,https://www.youtube.com/user/IkenEdu/videos",0,12,"अंग्रेजी, गणित, विज्ञान, सामाजिक विज्ञान",मुफ्त,3,"अंग्रेजी, हिंदी",HI
582,जोजो टीवी - हिंदी,जोजो टीवी 1 से 8 वर्ष की आयु के छोटे बच्चों के लिए हिंदी में कथाएँ और नर्सरी कविता के साथ एनिमेटेड वीडियो का चैनल है।,"जोजो टीवी - हिंदी==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;जोजो टीवी - तमिल==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;जोजो टीवी - तेलुगु==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;जोजो टीवी - बंगाली==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw,जोजो टीवी - हिंदी==https://www.youtube.com/channel/UCAXe-dTMWRcqDdt5pYLwHCA/featured;जोजो टीवी - तमिल==https://www.youtube.com/channel/UCL_ixOF1sQb7JZZArdp9u7A;जोजो टीवी - तेलुगु==https://www.youtube.com/channel/UCCBtquro7qtolLLxYXwp8wg;जोजो टीवी - बंगाली==https://www.youtube.com/channel/UCEPA7Lp6OlQCUW5gcj_yfSw",15,15,"पढ़ना, सुनना, बोलना",मुफ्त,3,"हिन्दी, तामिल, तेलुगू, बंगाली",HI
583,आकाश डिजिटल,आकाश डिजिटल चैनल पर कक्षा 8 से 12 के लिए गणित और विज्ञान के विभिन्न विषयों पर प्रशिक्षक के नेतृत्व वाले वीडियो है।,"https://www.youtube.com/user/AakashiTutor/featured,https://play.google.com/store/apps/details?id=com.tribyte.iTutor2&hl=en_IN",8,12,"गणित, विज्ञान",मुफ्त,3,हिन्दी,HI
584,आकाश डिजिटल,"आकाश डिजिटल चैनल पर आईआईटी जेईई और एनईईटी प्रतियोगी परीक्षा, एनटीएसई और अन्य ओलंपियाड के लिए गणित और विज्ञान के विभिन्न विषयों पर प्रशिक्षक के नेतृत्व वाले वीडियो है।","https://www.youtube.com/user/AakashiTutor/featured,https://play.google.com/store/apps/details?id=com.tribyte.iTutor2&hl=en_IN",14,14,"आईआईटी जेईई, एनईईटी",मुफ्त,3,हिन्दी,HI
585,इन्फोबेल्स,इन्फोबेल्स एक चैनल है जिसमें 1 से 8 वर्ष की आयु के छोटे बच्चों के लिए हिंदी में लघु कथाएँ और नर्सरी कविता के साथ एनिमेटेड वीडियो हैं।,"इन्फोबेल्स - हिंदी==https://www.youtube.com/user/infobellshindirhymes/featured;इन्फोबेल्स - तमिल==https://www.youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg;इन्फोबेल्स - तेलुगु==https://www.youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q;इन्फोबेल्स - बंगाली==https://www.youtube.com/channel/UCAWuV9ZZ0itI3WR-JHWIUNQ;इन्फोबेल्स - मलयालम==https://www.youtube.com/channel/UCTg9DAHnodNmVqF_P_Ru1sQ;इन्फोबेल्स - कन्नड़==https://www.youtube.com/channel/UCzKWILdrVl8ZEcDzaH4kl_A,इन्फोबेल्स - हिंदी==https://www.youtube.com/user/infobellshindirhymes/featured;इन्फोबेल्स - तमिल==https://www.youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg;इन्फोबेल्स - तेलुगु==https://www.youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q;इन्फोबेल्स - बंगाली==https://www.youtube.com/channel/UCAWuV9ZZ0itI3WR-JHWIUNQ;इन्फोबेल्स - मलयालम==https://www.youtube.com/channel/UCTg9DAHnodNmVqF_P_Ru1sQ;इन्फोबेल्स - कन्नड़==https://www.youtube.com/channel/UCzKWILdrVl8ZEcDzaH4kl_A",15,15,"पढ़ना, सुनना, बोलना",मुफ्त,3,"हिन्दी, तामिल, तेलुगू, बंगाली,मलयालम,  कन्नड़",HI
